Order ID,Order Date,Day,Country,City,Lat,Lng,Full Name,Category,Sub Category,Item,SalesPerson ID,Quantity,Unit Price,Discount,Total Cost,Status,Gender
1,01/01/2023,Mon,Syria,homs,34.7326,36.7136,Lina Alrrashid,Tablet,Apple iPad,"iPad Pro 12.9""",N498,4,999,38.3616,891.9072,False,Female
2,01/01/2023,Tue,Saudi Arabia,riyadh,24.7136,46.6753,Omar Eurul,Smartphone,Samsung Galaxy,Galaxy S21 Ultra,X918,3,1199,517.968,302.148,True,Female
3,01/01/2023,Tue,Saudi Arabia,riyadh,24.7743,46.7386,Iman Iismaeil,Digital Camera,Panasonic Lumix,Panasonic Lumix GH5,I036,4,1299,883.32,831.36,True,Male
4,01/01/2023,Mon,United Arab Emirates,abu dhabi,24.4539,54.3773,Ahmad Rihan,Tablet,Samsung Galaxy Tab,Galaxy Tab A8,E804,6,199,33.3126,129.549,True,Female
5,01/01/2023,Wed,USA,washington,38.9072,-77.0369,Sami Altawil,Headphones,Sennheiser HD,Sennheiser HD 450BT,Q149,4,129,11.2617,111.3657,True,Female
6,01/01/2023,Mon,Syria,aleppo,36.2021,37.1343,Ahed Salim,Smartwatch,Garmin Fenix,Garmin Fenix 6S,J431,2,499,232.1847,138.3228,True,Male
7,01/01/2023,Tue,Saudi Arabia,riyadh,24.7136,46.6753,Amira Alrahil,Digital Camera,Panasonic Lumix,Panasonic Lumix S1H,S190,3,3499,2203.6702,197.3436,True,Female
8,01/01/2023,Mon,Egypt,cairo,30.0444,31.2357,Muhamad Bitahish,Headphones,Anker Soundcore,Anker Soundcore Liberty Air 2 Pro,R389,3,99,74.4876,47.0448,False,Female
9,01/01/2023,Tue,Saudi Arabia,aseer,18.2311,42.5004,Fadi Aljabaan,Laptop,HP Envy,Envy x360,I974,4,899,359.6,881.02,True,Male
10,01/01/2023,Mon,USA,washington,38.9072,-77.0369,Zahir Almunajid,Smart Speaker,Apple HomePod,Apple HomePod mini,R236,3,99,598.3956,672.1704,True,Female
11,01/01/2023,Tue,Egypt,cairo,30.0444,31.2357,Eala Aljabaan,Laptop,Lenovo Legion,Lenovo Legion 5,B541,4,1099,1351.77,1945.23,True,Female
12,01/01/2023,Tue,Egypt,cairo,30.0444,31.2357,Abd Allatif Alghandur,Tablet,Samsung Galaxy Tab,Galaxy Tab S7,U983,4,649,52.569,578.259,True,Male
13,01/01/2023,Tue,USA,las vegas,36.1699,-115.1398,Muhamad Eurman,Smartwatch,Fossil Gen,Fossil Gen 5E,N710,4,199,136.116,130.743,True,Female
14,01/01/2023,Mon,Morocco,casablanca,33.5731,7.5898,Shahad Eyd Bndqjy,Smartwatch,Garmin Fenix,Garmin Fenix 7,G033,5,699,388.0149,566.1201,True,Female
15,01/01/2023,Mon,Egypt,asyut,27.1809,31.1837,Sahar Kharasah,Tablet,Amazon Fire,Amazon Fire 7,G449,2,49,8.6583,32.8104,True,Male
16,01/01/2023,Tue,United Arab Emirates,abu dhabi,24.4539,54.3773,Muhamad Zawal,Tablet,Samsung Galaxy Tab,Galaxy Tab A7,T351,4,179,115.276,159.7396,True,Female
17,01/01/2023,Mon,France,paris,48.8566,2.3522,Muhamad Zaetar,Headphones,Sennheiser HD,Sennheiser HD 660S,S691,8,499,3719.6458,4573.335,True,Female
18,01/01/2023,Tue,Saudi Arabia,jeddah,21.5433,39.1728,Muhamad Byd,Tablet,Lenovo Tab,Lenovo Tab M10 FHD Plus,D241,4,229,102.2256,187.4136,True,Male
19,01/01/2023,Mon,Saudi Arabia,riyadh,24.7136,46.6753,Fadi Ahmad,VR Headset,Oculus Rift,Oculus Rift S,O247,4,399,54.7428,367.5588,False,Female
20,01/01/2023,Tue,Saudi Arabia,riyadh,24.7743,46.7386,Khalid Dbs,Headphones,Anker Soundcore,Anker Soundcore Life Q35,R252,4,129,299.6154,326.1636,False,Female
21,01/01/2023,Tue,Saudi Arabia,aseer,18.2311,42.5004,Akthum Haydar,Digital Camera,Sony Cyber-shot,Sony Cyber-shot RX100 VII,S783,4,1199,322.2912,138.1248,True,Male
22,01/01/2023,Mon,USA,new york,40.7498,-73.9814,Muhamad Zaqzuq,Headphones,JBL Live,JBL Live 500BT,J345,7,99,38.61,9.9,False,Female
23,01/01/2023,Wed,United Arab Emirates,abu dhabi,24.4764,54.3705,Rwbyna Salhany,Headphones,Sony WH,Sony WH-CH710N,H632,4,129,47.73,28.38,True,Female
24,01/01/2023,Tue,USA,new york,40.7498,-73.9814,Muwmin Alsaman,Headphones,Anker Soundcore,Anker Soundcore Liberty Air Pro,Q832,3,99,68.8644,22.3344,True,Male
25,01/01/2023,Tue,United Arab Emirates,abu dhabi,24.4539,54.3773,Jwny Alrifaei,Laptop,Lenovo Legion,Lenovo Legion 5,P653,4,1099,652.806,1142.4105,True,Female
26,01/01/2023,Tue,Syria,damascus,33.5146,36.3084,Ali Iismaeil,Laptop,Apple MacBook,"MacBook Air 13""",U470,3,999,349.2504,165.4344,False,Female
27,01/01/2023,Tue,Egypt,cairo,30.0444,31.2357,Husam Aldiyn Allaham,Tablet,Amazon Fire,Amazon Fire HD 10,J431,4,149,85.9134,48.4995,True,Male
28,01/01/2023,Tue,France,paris,48.8566,2.3522,Muhamad Muayid,Smartphone,OnePlus,OnePlus 10 Pro,W336,4,999,91.908,588.2112,False,Female
29,01/01/2023,Mon,France,paris,48.8566,2.3522,Ali Kiwan,Fitness Tracker,Fitbit Versa,Fitbit Versa 2,V236,4,179,59.0342,201.4108,False,Female
30,01/01/2023,Mon,Saudi Arabia,aseer,18.2311,42.5004,Emara Shiah,Fitness Tracker,Fitbit Versa,Fitbit Versa 3,X209,6,229,230.603,239.305,False,Male
31,01/01/2023,Tue,USA,new york,40.7128,-74.006,Muhamad Shbyb,Smartphone,Samsung Galaxy,Galaxy S21 Ultra,F510,8,1199,414.3744,621.5616,False,Female
32,01/01/2023,Thu,United Arab Emirates,abu dhabi,24.4764,54.3705,Majd Eilwan,Headphones,Sennheiser HD,Sennheiser HD 599 SE,Z764,1,199,11.2236,130.942,True,Female
33,01/01/2023,Tue,USA,new york,40.7498,-73.9814,Rahaf Iybw,Digital Camera,Fujifilm X Series,Fujifilm X-T4,W493,3,1699,387.372,1597.9095,True,Male
34,01/01/2023,Mon,USA,washington,38.9072,-77.0369,Majid Hishan,Tablet,Samsung Galaxy Tab S,Galaxy Tab S7+,L106,3,849,678.351,710.2734,True,Female
35,01/01/2023,Wed,France,paris,48.8566,2.3522,Asra Abu,Smartwatch,Huawei Watch,Huawei Watch Fit 2 Pro,U646,4,129,11.3778,115.0422,False,Female
